Sample Date	Southern	Northern
2020-7-26	20.838155136271023	28.911909558328475
2020-7-27	20.537352532465356	30.77988686953117
2020-7-28	22.461477822620633	33.98104280065234
2020-7-29	21.891752443869642	33.119128788010734
2020-7-30	23.61121752512128	35.62452788562563
2020-7-31	24.132555423167947	38.21828108357296
2020-8-1	24.165808515528667	37.55285614407597
2020-8-2	28.98850118832664	39.20601046252544
2020-8-3	45.601792788855946	59.61756760329863
2020-8-4	51.46883849506252	56.17656163999674
2020-8-5	69.71791609430937	64.99343004629853
2020-8-6	57.6697768190171	61.17075115925291
2020-8-7	52.42315710737785	53.38307432133467
2020-8-8	52.42315710737785	53.38307432133467
2020-8-9	52.42315710737785	53.38307432133467
2020-8-10	43.319928448981216	47.68662861272444
2020-8-11	37.892366862381394	47.859847427707464
